Vertex Index (0-based) | Vertex Index (1-based) | X | Y | Z | U | V
347 | 348 | 4.432338 | 0.722096 | 3.522615 | 0.713757 | 0.532373
348 | 349 | 3.300681 | 0.861641 | 3.872784 | 0.667113 | 0.539327
349 | 350 | 2.430178 | 1.131492 | 4.039035 | 0.631101 | 0.552846
350 | 351 | 1.820731 | 1.467954 | 4.224124 | 0.600862 | 0.567527
351 | 352 | 0.563221 | 2.307693 | 5.566789 | 0.523481 | 0.594373
352 | 353 | 6.338145 | -0.529279 | 1.881175 | 0.810748 | 0.476074
353 | 354 | 5.587698 | 3.208071 | 2.687839 | 0.771046 | 0.651041
354 | 355 | 0.242624 | -1.462857 | 7.071491 | 0.509127 | 0.437282
355 | 356 | 1.611251 | 0.339326 | 4.895421 | 0.595293 | 0.514976
356 | 357 | 7.743095 | 2.364999 | -2.005167 | 0.980531 | 0.598436
357 | 358 | 1.391142 | 1.851048 | 4.448999 | 0.573500 | 0.580000
358 | 359 | 1.785794 | -0.978284 | 4.850470 | 0.602995 | 0.451312
359 | 360 | 4.670959 | 2.664461 | 3.084075 | 0.733530 | 0.623023
360 | 361 | 1.333970 | -0.283761 | 6.097047 | 0.560611 | 0.480983
361 | 362 | 7.270895 | -2.890917 | -2.252455 | 0.967686 | 0.355643
362 | 363 | 1.856432 | 2.585245 | 3.757904 | 0.580985 | 0.612840
363 | 364 | 0.923388 | 0.073076 | 6.671944 | 0.537728 | 0.494615
364 | 365 | 5.000589 | -6.135128 | 1.892523 | 0.760966 | 0.220247
365 | 366 | 5.085276 | -7.178590 | 0.714711 | 0.801779 | 0.168062
366 | 367 | 7.159291 | -0.811820 | -0.072044 | 0.892441 | 0.459239
367 | 368 | 5.843051 | -5.248023 | 0.924091 | 0.816351 | 0.259740
368 | 369 | 6.847258 | 3.662916 | 0.724695 | 0.865595 | 0.666313
369 | 370 | 2.412942 | -8.258853 | 4.119213 | 0.614074 | 0.116754
370 | 371 | 0.179909 | -1.689864 | 6.573301 | 0.508953 | 0.420562
371 | 372 | 2.103655 | -0.163946 | 4.566119 | 0.617942 | 0.491684
372 | 373 | 6.407571 | 2.236021 | 1.560843 | 0.825608 | 0.602325
373 | 374 | 3.670075 | 2.360153 | 3.635230 | 0.681215 | 0.603765
374 | 375 | 3.177186 | 2.294265 | 3.775704 | 0.656636 | 0.599403
375 | 376 | 2.196121 | -4.598322 | 4.479786 | 0.603900 | 0.289783
376 | 377 | 6.234883 | -1.944430 | 1.663542 | 0.812086 | 0.411461
377 | 378 | 1.292924 | -9.295920 | 4.094063 | 0.568013 | 0.055435
378 | 379 | 3.210651 | -8.533278 | 2.802001 | 0.681008 | 0.101715
379 | 380 | 4.068926 | -7.993109 | 1.925119 | 0.733752 | 0.130299
380 | 381 | 2.724032 | 2.315802 | 3.777151 | 0.633830 | 0.601178
381 | 382 | 2.288460 | 2.398891 | 3.697603 | 0.606793 | 0.604463
382 | 383 | 1.998311 | 2.496547 | 3.689148 | 0.589660 | 0.608938
383 | 384 | 6.130040 | 3.399261 | 2.038516 | 0.805016 | 0.657892
384 | 385 | 2.288460 | 2.886504 | 3.775031 | 0.611335 | 0.637716
385 | 386 | 2.724032 | 2.961810 | 3.871767 | 0.634038 | 0.644029
386 | 387 | 3.177186 | 2.964136 | 3.876973 | 0.656636 | 0.644643
387 | 388 | 3.670075 | 2.927714 | 3.724325 | 0.681215 | 0.641660
388 | 389 | 4.018389 | 2.857357 | 3.482983 | 0.698585 | 0.636844
389 | 390 | 7.555811 | 4.106811 | -0.991917 | 0.941867 | 0.680924
390 | 391 | 4.018389 | 2.483695 | 3.440898 | 0.698585 | 0.612551
391 | 392 | 1.776217 | -2.683946 | 5.213116 | 0.584177 | 0.375893
392 | 393 | 1.222237 | -1.182444 | 5.952465 | 0.554318 | 0.433923
393 | 394 | 0.731493 | -2.536683 | 5.815343 | 0.534154 | 0.379360
394 | 395 | 4.135272 | -6.996638 | 2.671970 | 0.711218 | 0.180025
395 | 396 | 3.311811 | -7.660815 | 3.382963 | 0.664630 | 0.147129
396 | 397 | 1.313701 | -8.639995 | 4.702456 | 0.559100 | 0.097368
397 | 398 | 5.940524 | -6.223629 | -0.631468 | 0.871706 | 0.208059
